,Unnamed: 0,Recipe_Name,Type,Serving,Protein,Fat,Carbs,Calories,cholesterol,sodium,fiber,sugar,Prepare time,cooking time,Total_Time,Ratings
372,172,"Baby Greens with Goat Cheese, Beets and Candied Pecans",Instant Pot,1.0,7.0,19.5,19.0,267.0,,211.0,2.0,14.0,10.0,0.0,10 mins,4.86
373,173,High Protein Bread (Oat Sandwich Rolls),cottage cheese,1.0,10.5,3.0,18.0,135.5,5.0,582.5,2.5,1.5,5.0,25.0,30 mins,4.41
374,174,Salmon Coconut Curry with Spinach and Chickpeas,dinner,1.0,41.0,20.0,23.5,453.0,94.0,275.0,5.0,1.5,5.0,20.0,25 mins,4.92
375,175,Spinach Stuffed Chicken Breast with Tomato and Feta,Dinner,1.0,44.5,22.0,7.0,407.0,148.0,830.0,1.5,3.5,15.0,20.0,35 mins,4.83
376,176,Sheet Pan Shrimp Oreganata,dinner,5.0,47.5,11.5,6.0,333.0,346.0,442.0,0.5,0.5,10.0,15.0,25 mins,4.95
377,177,Butternut Squash Lentil Soup,lunch,1.0,4.0,1.5,25.0,122.0,,309.5,7.0,8.0,15.0,50.0,1 hr 5 mins,4.94
378,178,Chicken Brown Rice Bowl (copycat Zinque’s Le Bowl),Rice Bowl,1.0,48.0,15.0,33.0,455.0,151.0,819.0,5.5,7.0,15.0,0.0,15 mins,4.93
379,179,Slow Cooker Butternut Squash Pear Soup,dinner,1.0,3.0,3.0,25.5,132.0,,275.0,6.0,10.0,5.0,,8 hrs 5 mins,4.76
380,180,Slow Cooker Chicken Enchilada Stuffed Sweet Potatoes,dinner,1.0,34.0,10.0,47.0,413.0,101.5,809.5,6.0,9.0,10.0,,6 hrs 10 mins,4.75
381,181,Pastrami Reuben Egg Rolls,appetizer,2.0,23.0,9.5,44.0,360.0,50.0,1297.0,3.0,3.0,15.0,10.0,25 mins,4.97
382,182,Detox Vegetable Soup,Dinner,1.0,15.0,12.5,34.0,293.0,,646.0,11.0,7.0,15.0,30.0,45 mins,4.74
383,183,Broccoli and Cheese Twice Baked Potatoes,,1.0,8.0,3.5,23.0,146.5,1.2,152.5,2.5,1.5,5.0,25.0,30 mins,4.77
384,184,Spicy Pork Brussels Bowls,Burger,1.0,35.0,10.0,15.5,280.5,252.5,474.0,6.0,3.5,5.0,25.0,30 mins,4.85
385,185,Ratatouille Baked Chicken,Dinner,2.0,63.5,20.0,28.5,543.0,280.0,340.5,9.0,10.0,10.0,,1 hr 10 mins,4.85
386,186,Greek Turkey Burgers,burger,1.0,29.0,14.5,2.5,255.0,111.0,360.0,0.5,1.0,15.0,15.0,30 mins,4.96
387,187,Crustless Quiche Lorraine,breakfast,1.0,16.0,14.0,2.5,205.0,214.5,350.0,,2.0,10.0,35.0,45 mins,4.9
388,188,Easy Crustless Spinach and Feta Pie,appetizer,1.0,9.0,5.0,12.0,126.0,69.0,433.0,2.5,1.5,10.0,30.0,40 mins,4.6
389,189,Air Fryer Fried Shrimp Sandwich with Tartar Sauce,lunch,1.0,34.5,9.35,33.5,352.0,228.0,873.0,7.0,6.5,10.0,20.0,30 mins,5.0
390,190,"Caramelized Onion, Red Pepper and Zucchini Frittata",breakfast,1.0,13.0,11.5,8.0,186.0,284.0,226.5,2.0,4.0,5.0,35.0,40 mins,4.84
391,191,Salmon Croquettes with Dill Sauce,appetizer,1.0,26.0,16.0,4.5,278.0,169.0,542.0,0.5,1.0,20.0,10.0,30 mins,3.96
392,192,Vegetarian Black Bean Tacos,dinner,2.0,13.0,15.4,42.0,367.0,10.0,669.0,12.0,2.0,15.0,10.0,25 mins,4.95
393,193,Zesty Lime Grilled Chicken with Pineapple Salsa,Dinner,6.0,41.0,18.5,16.5,395.0,124.5,225.0,2.0,8.0,30.0,15.0,45 mins,4.96
394,194,Jamaican Beef Patties,Appetizer,1.0,11.5,4.5,25.0,191.0,29.0,412.0,2.0,1.0,30.0,30.0,2 hrs,3.96
395,195,Omelet Tortilla Breakfast Wrap,Breakfast,1.0,28.0,17.0,23.0,315.0,377.0,1037.0,14.5,2.0,5.0,10.0,15 mins,4.93
396,196,Margherita Pizza,Appetizer,2.0,15.0,6.5,27.0,236.0,23.5,636.0,1.0,3.5,30.0,15.0,45 mins,4.84
397,197,Turkey Club,lunch,1.0,35.0,11.5,28.5,351.0,65.0,652.5,6.5,4.5,2.0,8.0,10 mins,5.0
398,198,Open-Faced Tuna Melt Sandwich Recipe,Lunch,1.0,28.5,6.5,14.5,231.0,,,3.5,,5.0,5.0,10 mins,4.75
399,199,Paprika Chicken Stew,Dinner,1.0,49.0,11.0,14.0,361.0,214.0,954.0,3.0,4.0,15.0,,1 hr 15 mins,4.58
400,0,Almond Cake,Dessert,1.0,7.0,11.0,17.0,179.0,47.0,39.0,3.0,13.0,20.0,40.0,1 hr,4.86
401,1,Lemon-Coconut Almond Cake,dessert,1.0,6.5,10.5,20.5,198.0,46.5,32.5,4.0,14.0,20.0,30.0,1 hr 5 mins,4.91
402,2,Lemon Poppy Seed Cupcakes,dessert,1.0,3.5,4.0,42.0,152.0,23.5,160.0,1.5,6.5,15.0,25.0,50 mins,
403,3,Chocolate Oat Flour Banana Bread,Breakfast,1.0,5.5,7.0,34.5,190.0,34.5,179.5,9.5,11.5,15.0,50.0,1 hr 20 mins,4.97
404,4,Cottage Cheese Cheesecake,cottage cheese,1.0,6.5,10.5,15.0,159.0,60.0,243.0,0.5,3.0,15.0,44.0,4 hrs 59 mins,4.88
405,5,Coconut Cookies,Dessert,2.0,1.5,2.5,19.0,188.0,,53.0,2.0,14.0,20.0,18.0,40 mins,4.86
406,6,Snowman Chocolate Bark,Dessert,1.0,2.0,8.0,18.0,118.0,,1.5,10.0,1.0,15.0,0.0,45 mins,
407,7,Coconut Macaroons,dessert,2.0,2.0,7.0,14.5,129.0,54.5,74.0,1.0,13.5,35.0,45.0,1 hr 20 mins,4.95
408,8,Chewy Chocolate Chip Cookies (Low-Fat),Dessert,2.0,2.0,6.0,20.0,133.0,15.5,45.0,3.0,8.0,10.0,10.0,20 mins,4.7
409,9,Oatmeal Chocolate Chip Cookies,breakfast,1.0,1.5,1.5,12.0,64.0,8.0,59.5,0.5,5.0,15.0,15.0,30 mins,4.84
410,10,Pumpkin Mug Cake,dessert,1.0,4.0,3.0,41.5,134.0,,21.5,3.5,1.5,5.0,2.0,7 mins,4.55
411,11,Pumpkin Chocolate Chip Cookies,Dessert,2.0,2.5,3.5,25.5,95.0,15.0,107.0,3.0,1.0,10.0,15.0,25 mins,4.84
412,12,Apple Turnover,dessert,1.0,1.5,1.0,24.0,111.0,,129.0,2.0,11.5,30.0,30.0,1 hr 10 mins,5.0
413,13,Apple Cobbler Recipe,dessert,1.0,1.5,4.0,44.5,215.0,5.5,71.0,4.0,32.0,20.0,50.0,1 hr 10 mins,5.0
414,14,Babka-Inspired Bagels,breakfast,1.0,5.0,2.0,30.0,158.0,47.0,473.0,1.0,5.0,30.0,28.0,1 hr 13 mins,4.89
415,15,Grilled Pineapple,dessert,2.0,0.6,1.0,24.0,102.0,,2.0,2.0,21.0,5.0,10.0,15 mins,4.97
416,16,Blueberry Galette,dessert,1.0,2.5,6.5,31.0,155.0,5.0,137.5,2.0,7.5,20.0,40.0,1 hr 15 mins,4.97
417,17,Carrot Cake Recipe with Cream Cheese Frosting,dessert,1.0,4.0,8.0,32.0,216.0,33.0,392.0,2.0,22.0,20.0,45.0,1 hr,4.85
418,18,Chocolate Brownie Date Balls,dessert,1.0,2.5,6.5,26.0,153.0,,1.5,4.0,20.5,15.0,0.0,15 mins,4.91
419,19,Healthy Chocolate Chip Oat Cookies,Dessert,2.0,4.0,10.0,20.0,174.0,15.5,50.0,4.5,6.5,10.0,10.0,20 mins,4.59
420,20,Apple and Grape Fall Fruit Salad,dessert,1.0,6.0,8.5,36.0,209.0,,16.0,3.0,19.0,15.0,,15 mins,5.0
421,21,Raspberry Coconut Chia Pudding Popsicles,dessert,1.0,1.8,5.0,6.8,74.0,,27.0,4.6,0.6,5.0,,6 hrs 5 mins,5.0
422,22,"Red, White and Blueberry Trifle",dessert,1.0,2.5,5.5,28.5,158.0,,143.5,2.0,15.5,15.0,0.0,1 hr 15 mins,4.96
423,23,Mango Coconut Chia Pudding,dessert,1.0,7.0,13.0,22.0,227.0,,66.0,11.5,10.5,5.0,0.0,5 hrs 5 mins,4.98
424,24,Instant Pot Baked Oatmeal Bars,Instant Pot,1.0,9.0,6.5,45.0,266.0,,61.0,8.0,11.0,10.0,50.0,1 hr,4.86
425,25,Blueberry Frozen Yogurt,dessert,1.0,2.5,2.5,36.0,76.0,8.5,29.0,1.5,9.5,20.0,,1 d 20 mins,4.89
426,26,Chocolate Frozen Yogurt in the Ninja™ CREAMi®,Dessert,1.0,4.0,3.5,20.5,88.0,11.0,54.0,1.0,8.5,15.0,0.0,1 d 15 mins,5.0
427,27,Lemon Cheesecake Yogurt Cups,dessert,1.0,3.5,4.5,12.0,108.0,6.5,108.0,1.0,9.0,10.0,25.0,35 mins,4.72
428,28,3-Ingredient Strawberries Romanoff,dessert,5.0,1.0,3.0,15.0,79.0,9.0,12.0,2.0,12.0,5.0,0.0,5 mins,4.93
429,29,Healthy 3-Ingredient Banana Oatmeal Cookies,breakfast,2.0,2.0,3.5,15.0,93.0,,0.5,2.0,4.5,10.0,15.0,25 mins,4.67
430,30,Red White and Blue Fruit Skewers with Cheesecake Yogurt Dip,dessert,1.0,3.0,2.5,18.5,105.0,1.5,147.5,2.0,7.0,20.0,0.0,20 mins,5.0
431,31,Triple Berry Crisp,breakfast,1.0,2.0,4.5,29.5,152.0,9.5,4.5,4.0,17.0,15.0,40.0,55 mins,5.0
432,32,Ambrosia Fruit Salad,dessert,1.0,1.5,7.0,26.0,163.0,,13.2,3.0,14.0,15.0,0.0,15 mins,5.0
433,33,Strawberries and Yogurt Whipped Cream,dessert,6.0,2.5,7.5,13.0,125.0,27.5,15.5,2.0,11.0,15.0,0.0,15 mins,5.0
434,34,Flaugnarde of Mixed Berries (Clafoutis),dessert,1.0,4.4,2.3,33.0,167.5,71.0,76.3,1.8,8.0,15.0,45.0,1 hr,4.8
435,35,“Fried” Oreos,Dessert,2.0,3.0,3.5,16.0,107.0,6.5,96.0,0.5,8.5,3.0,12.0,15 mins,5.0
436,36,3-Ingredient Baked Bananas,dessert,1.0,1.5,0.5,35.5,137.0,,2.0,3.0,23.0,5.0,15.0,20 mins,4.8
437,37,Fudgy Flourless Crinkle Brownie Cookies with Sea Salt,dessert,2.0,6.0,12.0,30.0,207.0,,189.0,8.0,16.5,15.0,15.0,2 hrs 30 mins,4.83
438,38,Pizzelle Cookies,Dessert,2.0,2.0,3.0,14.5,91.0,25.0,25.0,0.5,7.5,10.0,20.0,30 mins,5.0
