,Recipe_Name,Type,Serving,Protein,Fat,Carbs,Calories,cholesterol,sodium,fiber,sugar,Prepare time,cooking time,Total_Time,Ratings
70,Czech Crepes with Berries and Cream,breakfast,2,7,4,30,180,63,50,5,10,5,25,30 mins,4.89
71,Gingerbread Christmas Tree Cookies,Dessert,2,1.5,1,24,106,11,50,,13.5,20,10,2 hrs 30 mins,4.35
72,Delightfully Baked Apples,dessert,1,1.5,6.5,27,154,15.5,2.5,3,15.5,5,30,35 mins,4.81
73,Turmeric Golden Milk Popsicles,Dessert,1,0.1,4.5,10,84,,5.5,0.1,8.5,5,0,5 hrs 5 mins,5
74,No-Bake Strawberries and Cream Crêpe Cake,dessert,1,5,8.5,22,182,44,47,1.5,13,15,30,45 mins,5
75,Dark Chocolate Nut Clusters with Sea Salt,Dessert,1,1,5,3,54,,3,0.5,2,30,0,30 mins,5
76,Cranberry Bliss Bars,dessert,1,2,5.5,23.5,143,6.5,73.5,0.5,16,15,20,35 mins,4.57
77,Donut-Shaped Apple Snacks,Snacks,1,1,3,7.5,57,1,19,1,4,5,5,15 mins,5
78,Five-Ingredient Chocolate Cheesecake Cups,breakfast,1,1.5,4,6,65,20,48,,6,15,20,3 hrs 35 mins,4
79,Flourless Chocolate Cake,dessert,1,3,8,16,136,23,48,2,11,,,,4.89
80,Skinny Pumpkin Pie,dessert,1,3,5,25,137,23.5,114,1.5,16.5,10,10,1 hr 20 mins,4.43
81,Easy 3-Ingredient Low-Fat Graham Cracker Crust,Dessert,1,1,4,13,88,8,101,1,6,,,,5
82,No Bake Pumpkin Cheesecake,dessert,1,2.5,10,21,187,5.5,178,1.5,13,15,0,15 mins,4.95
83,Whipped Coconut Cream,dessert,2,0.5,7,4,77,,10,,3,,,,5
84,Gluten-Free S’mores Tartlets,dessert,2,4,10,27,199,37,111,2,18,15,,1 hr 15 mins,
85,Mixed Berry Tartlet with Dark Chocolate,Dessert,1,1,6.5,16,124,14,85,1,10,10,,55 mins,5
86,Grilled Peaches With Honey and Yogurt,dessert,1,2,,19,78,,5,2,18,5,20,25 mins,5
87,Sprinkle Dipped Meringues,Dessert,2,1,2,15.5,85,2,15,,5,25,,3 hrs,
88,Coconut Macaroon Nests,Dessert,2,3,8,20,158,2,25,1,19,20,40,1 hr,4.25
89,Coconut Obsessed Pie,Dessert,1,5,9,27,205,8,130,2,18,40,10,3 hrs 50 mins,
90,Deep Dish Chocolate Chip Cookie Pie,dessert,1,3,9,40,226,,262,6,25,20,35,55 mins,4.84
91,Poached Pears with Yogurt,dinner,1,2,1,29,134,,28,3.5,21.5,5,30,35 mins,
92,White Chocolate Oatmeal Lace Cookies,Dessert,2,1,4,12.5,84,6.5,8.5,,9,25,10,35 mins,4.50
93,Baked Pears with Walnuts and Honey,breakfast,1,1.5,5,17,110.5,,,3,12,5,30,35 mins,4.85
94,Pumpkin Butterscotch Bars,dessert,1,2,5,21,133,1,71,1,15,30,15,45 mins,4.85
95,Coconut Lime Raspberry Chia Pudding,dessert,1,4,10,15,157,,31,10,1,5,,6 hrs,4.84
96,Red White + Blue Fruit Pizza,dessert,1,2,5,24.5,144,10,77,1.5,17,45,15,1 hr,5
97,Citrus Basil Mojito Pops,Dessert,1,,,8,34,,1,,7,5,,4 hrs,
98,Avocado Coconut Popsicles,Dessert,1,1,4.5,11,84.5,,30,1.5,9,10,0,3 hrs 10 mins,3
99,Fruit Pizza,dessert,1,2,5,24,140,10,72,1,17,30,15,45 mins,
100,PB2 Flourless Chocolate Brownies,Dessert,1,6,5,26,131,20,217,3,20,10,30,40 mins,4.61
101,Amazing Flour-less Black Bean Brownies,Dessert,1,4,5,25,144,23.5,91,3.5,17.5,15,30,45 mins,4.84
102,Vanilla Bean Panna Cotta,dessert,1,5,7,20,158,25,48,1,19,10,25,4 hrs 35 mins,5
103,Dark Chocolate Oatmeal Lace Cookies,Dessert,1,1,3,10,66,6,7,,7,20,10,30 mins,4.58
104,Mini Sweet Potato Meringue Pie,appetizer,1,2,4,24,136,20,106,1,13,,32,1 hr 32 mins,4.50
105,Cranberry Swirl Cheesecake Squares,Dessert,1,6,10,22,197,,101,1,14,10,45,2 hrs 55 mins,4.63
106,Skinny Mummy Cake Balls,Dessert,1,1.5,4,15,102.5,2,68,,7,45,18,1 hr 48 mins,5
107,Candy Corn Fruit Parfaits,dessert,1,3,6,23,151,19.5,20,1,21,15,0,15 mins,
108,Coconut Mango Ice Pops,Dessert,1,,2,14,68,,2,1,13,15,0,10 mins,5
109,Tropical Fruit Salad,dessert,1,1,1,28,116,,4,3.5,20,15,0,15 mins,5
110,Mexican “Unfried” Ice Cream,dessert,1,7.5,2.5,30,149.5,45,248,4,11.5,30,,30 mins,5
111,Easter Egg Cake Pops,dessert,1,1.5,4,15,102.5,2,68,,7,40,20,2 hrs,
112,Chocolate Drizzled Coconut Macaroons,dessert,2,2,5.5,13,105,,15,1,12,30,45,1 hr 15 mins,5
113,St Patricks Day Cake Pops,Dessert,1,1.5,4,15,102.5,2,68,,7,,,2 hrs,
114,Shamrock Shake,dessert,1,7,6,23,169.5,2,90.5,2.5,19,10,0,10 mins,5
115,Valentine’s Day Cake Balls,dessert,1,1.5,4,15,102.5,2,68,,7,10,20,1 hr 45 mins,
116,Skinny Chocolate Parfaits,dinner,6,5,10,30.5,217,33,73,1.5,22.5,5,45,2 hrs 50 mins,5
117,Chocolate Raspberry Cheesecake,dessert,1,5,7.5,15,150,,57.5,0.5,10,15,30,45 mins,5
118,Skinny Eggnog Cake,dessert,1,2.5,5,32,188,0.3,204,0.5,4.3,15,30,45 mins,5
119,Skinny Frozen Hot Chocolate,Dessert,,7,1,20,111,3,166,1,18,10,,10 mins,
120,Skinny Cake Pops,Dessert,1,1.4,4,15,102.5,2,68,,7,,18,1 hr 18 mins,5
121,Dark Chocolate and Mint Chip Clouds,Dessert,2,1,5,23,130.5,,11,,22,20,45,1 hr 5 mins,5
122,Mini Pecan Phyllo Tarts,dessert,1,1,4.5,6.5,68,,23,0.5,4,5,10,15 mins,4.92
123,Guiltless Banana Ice Cream (Nice Cream),breakfast,1,1,,27,105,,1,3,14,10,0,10 mins,5
